wavelength,Filter A,Filter B,Radiation A,Radiation B,Radiation C,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
300,0.0024,,0.0,1.1943906144027814e-24,2.0678183829387466e-47,0.0,,1.8091826680698217e-50
310,0.0019,,0.0,1.0861614905429998e-23,1.115355689314803e-45,0.0,,9.758507799769301e-49
320,0.002,,0.024751000572823898,8.561134195896867e-23,4.665317505320243e-44,6.994665258350642e-08,,4.081795403942951e-47
330,0.0027,,0.0442493584985108,5.926112946024501e-22,1.5488936316001144e-42,1.6881651191122203e-07,,1.3551632658339021e-45
340,0.0114,,0.062274371153666894,3.644576647492785e-21,4.166270669389467e-41,1.0031326858652294e-06,,3.645167654828009e-44
350,0.1485,,0.0809196712913291,2.011965487862282e-20,9.245911164044054e-40,1.6979493971817726e-05,,8.089463932866718e-43
360,0.0749,,0.0900905329658681,1.0061195630710346e-19,1.7204391354505327e-38,9.534658735759861e-06,,1.5052524394828991e-41
370,0.4716,,0.0993946915674961,4.5947603113806e-19,2.7231188433118516e-37,6.62340278518322e-05,,2.3825203678731776e-40
380,0.7712,,0.10891205907081901,1.930256484151011e-18,3.7138255970903234e-36,0.00011868263206388384,,3.249312878697288e-39
390,0.8175,,0.117648274070742,7.50818562898397e-18,4.4148754434097086e-35,0.00013589938808074932,,3.8626777863114277e-38
400,0.6278,,0.135343755397176,2.7199872083045456e-17,4.622409700907184e-34,0.00012006148581187383,,4.044254362278203e-37
410,1.903,,0.136340914857,9.22581344519246e-17,4.3026949065601845e-33,0.00036661410650480045,,3.764528410796886e-36
420,2.0302,,0.143779796394457,2.9438954985997583e-16,3.5909946553688436e-32,0.000412459078591354,,3.141845214854695e-35
430,1.7216,,0.145775263286336,8.875638342980336e-16,2.7078663184362103e-31,0.0003546175851113889,,2.3691755771135093e-34
440,4.5451,,0.149721404128389,2.538304162741583e-15,1.8578450136575155e-30,0.0009615492065215798,,1.6254720561543066e-33
450,2.3154,,0.15123717441287898,6.9104920273183585e-15,1.1671385112372003e-29,0.0004947989430703209,,1.0211567820410981e-32
460,0.7869,,0.17082824179514097,1.7968574993205442e-14,6.752827395037366e-29,0.00018994304497630516,,5.908206631863851e-32
470,0.211,,0.236769341719232,4.4756288981834044e-14,3.6174575963990956e-28,7.059144980856236e-05,,3.164998260911885e-31
480,1.4327,,0.175817942432625,1.0708230541383967e-13,1.8029640583280782e-27,0.0003559283929375578,,1.5774554247091296e-30
490,3.4404,,0.19249227592342,2.4671424280435575e-13,8.397974986556072e-27,0.0009357641995217503,,7.347584738543842e-30
500,1.4973,,0.180817211761551,5.486372541068091e-13,3.670694213210901e-26,0.00038255402188930055,,3.21157622212805e-29
510,0.902,,0.160777944219157,1.1800851277620127e-12,1.5112965413196832e-25,0.00020491662215469015,,1.3222686921777072e-28
520,1.081,,0.163012453631695,2.4599661763821048e-12,5.8815770826699895e-25,0.0002489950181414564,,5.1459293556335575e-28
530,2.1173,,0.162306987361792,4.978730822129097e-12,2.1706027714729976e-24,0.0004855833576426227,,1.8991111336539433e-27
540,4.5033,,0.163439656160324,9.799615468006381e-12,7.619122158907658e-24,0.0010399979881881348,,6.666148182807204e-27
550,4.6282,,0.166973154435994,1.8787718710579613e-11,2.55075271852386e-23,0.001091950494784446,,2.2317132137721439e-26
560,1.8305,,0.16570499375738698,3.513490815762014e-11,8.165544811124098e-23,0.0004285973776038199,,7.144226141677933e-26
570,0.5974,,0.164136729394138,6.417770152264724e-11,2.505481719890887e-22,0.00013855275736527172,,2.19210455821092e-25
580,0.8271,,0.167107533261104,1.1464374941173104e-10,7.385001442389992e-22,0.00019529819472888048,,6.461310492004841e-25
590,1.1278,,0.172216575881146,2.0051219054891354e-10,2.0953735647312044e-21,0.00027444240712610763,,1.833291341116619e-24
600,2.0926,,0.16069086414192502,3.4373577057433556e-10,5.734055177587475e-21,0.0004751399928045484,,5.0168589904419e-24
610,1.3266,,0.16069086414192502,5.781499160455824e-10,1.516123255821322e-20,0.0003012141424326263,,1.326491697588693e-23
620,0.9633,,0.169572288192319,9.549873979909094e-10,3.879817230865719e-20,0.00023081318844324548,,3.3945428415164814e-23
630,1.2838,,0.174700590340015,1.5505278898963552e-09,9.624479486084185e-20,0.0003169099853924116,,8.420682212269919e-23
640,2.6992,,0.16745148479348199,2.476540196148405e-09,2.317792032562705e-19,0.0006386578396135767,,2.0278904608359816e-22
650,1.7027,,0.16517363936659202,3.894321130949302e-09,5.426316742740653e-19,0.00039739559933171266,,4.747611436006024e-22
660,0.797,,0.15256595146323298,6.033298146493017e-09,1.2366157000111298e-18,0.00017181462269824313,,1.0819439995226306e-21
670,0.5676,,0.156693975263417,9.215341191278505e-09,2.7465960769830003e-18,0.00012567209786719147,,2.403061148728266e-21
680,0.57,,0.16098188732669702,1.388612039117226e-08,5.952306096335955e-18,0.0001296570242445351,,5.207811823992448e-21
690,0.6829,,0.204840315177732,2.0655046562269837e-08,1.260018560930496e-17,0.0001976590608978432,,1.1024197099176572e-20
700,0.8009,,0.150326514956034,3.034553700341249e-08,2.608035844050884e-17,0.00017012105309968344,,2.281831560108283e-20
710,0.8707,,0.135623103991008,4.405755441514077e-08,5.283401503659208e-17,0.00016685775798273465,,4.6225715506454236e-20
720,0.841,,0.145617128258363,6.324456642779065e-08,1.0485091221078231e-16,0.0001730424428114241,,9.173651548327344e-20
730,0.6827,,0.140638307804787,8.980726086651708e-08,2.040152472399446e-16,0.0001356680911787751,,1.784977115852543e-19
740,0.6315,,0.18348635099291802,1.2620652098937648e-07,3.8952720631804916e-16,0.0001637273747712789,,3.408064635786477e-19
750,0.6523,,0.151160596732657,1.7559830885142062e-07,7.303511098306723e-16,0.00013932535418320258,,6.390012683963803e-19
760,0.7861,,0.145974078969155,2.4199321713123635e-07,1.3457381666802416e-15,0.00016214281907220993,,1.1774177979101904e-18
770,1.3271,,0.0832087703557047,3.3044352400311016e-07,2.438507600480347e-15,0.00015603317037699447,,2.1335073346604724e-18
780,2.7836,,0.0460754066423633,4.4726061630141737e-07,4.348170034094622e-15,0.00018122586618273445,,3.804315663508434e-18
790,5.0648,,0.0251836093684262,6.002656284174117e-07,7.634444963972146e-15,0.00018022890922670385,,6.679554463347899e-18
800,7.5104,,0.014947865661733699,7.990760741439363e-07,1.3206661551018072e-14,0.0001586304052056806,,1.1554817085632698e-17
810,10.6191,,0.00820281273840478,1.0554311231799822e-06,2.2521462403496692e-14,0.00012308204043037178,,1.9704554218192816e-17
820,16.4213,,0.007254904121947729,1.3835579915622994e-06,3.788082623525726e-14,0.0001683384764052383,,3.3142820879459286e-17
830,29.1815,,0.0313917142625716,1.800581675516083e-06,6.287553933911435e-14,0.0012943949923027382,,5.501127998301462e-17
840,53.6768,,0.00542974158185956,2.3269799620268593e-06,1.0303694225236221e-13,0.000411822392388878,,9.014943073915344e-17
850,82.4447,0.0,0.00151446545316275,2.987085299043856e-06,1.6678336902108133e-13,0.0001764275050376343,0.0,1.4592267050378178e-16
860,94.2052,0.0,0.0009965639861616179,3.8096347070941224e-06,2.6677877857243075e-13,0.00013265518940788884,0.0,2.3341099314348035e-16
870,93.7416,0.0,0.001829129100051,4.828368466847496e-06,4.218615685005746e-13,0.00024228186078901473,0.0,3.6909655333042747e-16
880,93.0208,0.0,0.006374749313276589,6.082677829510373e-06,6.597537356839241e-13,0.0008378906816915417,0.0,5.772339745318104e-16
890,94.3123,0.0,0.0160156614053403,7.618301475444115e-06,1.0208270705465983e-12,0.0021343094844182807,0.0,8.931454804578467e-16
900,96.5564,0.0,0.00827714853009581,9.488069898446973e-06,1.5632870269195871e-12,0.0011292913282675504,0.0,1.367756384050435e-15
910,97.7134,0.0,0.010143876024795,1.1752696326654174e-05,2.3702398244693516e-12,0.0014005616726485023,0.0,2.073778260692556e-15
920,97.1176,-0.1,0.0355597083034651,1.4481612214314247e-05,3.5592382006141374e-12,0.004879780764780626,-6.583823747903548e-11,3.1140607498283678e-15
930,96.0197,0.0,0.009782087321038229,1.7753844760339098e-05,5.295060482333285e-12,0.0013271990421106158,0.0,4.632772263782792e-15
940,95.8654,0.0,0.030713630768313804,2.1658933338058097e-05,7.806671201446858e-12,0.004160420496038117,0.0,6.830239226766677e-15
950,96.0514,0.0,0.0391530408041506,2.6297881164456582e-05,1.1409544674437355e-11,0.005313899981693506,0.0,9.982477496995856e-15
960,95.7242,0.0,0.08178624474678699,3.178413800442958e-05,1.6534811559155313e-11,0.011062319380547506,0.0,1.4466693370870604e-14
970,96.8787,0.0,0.146567132704096,3.824460920388821e-05,2.376701849083446e-11,0.020063609836765403,0.0,2.0794320371696974e-14
980,98.2947,0.0,0.84,4.5820685881944615e-05,3.389267888376311e-11,0.11666848735337955,0.0,2.965349748163866e-14
990,97.7506,0.0,0.193372381520098,5.466929069320553e-05,4.7962245465511967e-11,0.026709026393242102,0.0,4.196329036140745e-14
1000,96.453,0.0,1.0,6.496393320198019e-05,6.736865879992774e-11,0.1362887221829031,0.0,5.894241529022578e-14
1010,96.4289,0.0,0.132934663689396,7.689576859561292e-05,9.3946227660286e-11,0.01811296856302731,0.0,8.219575191704148e-14
1020,96.9498,0.0,0.12324399245363,9.067465320792812e-05,1.300942832086105e-10,0.016883281270796385,0.0,1.1382253119419963e-13
1030,96.7689,0.0,0.0642890875456772,0.00010653019012882925,1.7893082582022312e-10,0.008790574233080453,0.0,1.5655076457793395e-13
1040,97.1655,0.0,0.0613320311729081,0.00012471275804419856,2.4448225693629864e-10,0.008420611233341684,0.0,2.1390324486386322e-13
1050,98.2741,0.0,0.08084507354536691,0.00014549451638242776,3.3191626381841e-10,0.011226304434110003,0.0,2.9040130250575585e-13
1060,98.267,0.0,0.113363734436734,0.00016917037984024152,4.4782600705474547e-10,0.01574077174179779,0.0,3.9181344791166753e-13
1070,96.2433,0.0,0.0808608168984837,0.0001960589554200375,6.005749527496024e-10,0.010996457745147986,0.0,5.254570731919152e-13
1080,94.4772,0.0,0.104549861291071,0.00022650343523235105,8.007129960602095e-10,0.01395708277637512,0.0,7.005625283742834e-13
1090,94.8685,0.0,0.21049313227757702,0.00026087243849766563,1.0614759414366585e-09,0.028216565078777935,0.0,9.287101283484365e-13
1100,96.3696,0.0,0.103458811029251,0.000299560796418911,1.399381937499304e-09,0.014088077076277274,0.0,1.2243519876903536e-12
1110,97.2197,0.0,0.138297007966677,0.00034299027388575576,1.834940109364171e-09,0.018998146856084582,0.0,1.6054320196582464e-12
1120,97.2764,0.0,0.153845062196091,0.00039161022231043484,2.3934883851812116e-09,0.02114634099465375,0.0,2.0941189702270606e-12
1130,97.634,0.0,0.0906477666724785,0.0004458981582775193,3.106179371730319e-09,0.012505537723885747,0.0,2.717668983706374e-12
1140,98.3704,0.0,0.0825086475016988,0.0005063602631123305,4.011135089378037e-09,0.011468538715648872,0.0,3.5094359073624718e-12
