Wavelength (nm),Range A (W/m2nm),Range B  (W/m2nm),Range C (W/m2nm)
300,0,0,0
310,0,0,0
320,0,0,0
330,0,0,0
340,0,0,0
350,0,0,0
360,0,0,0
370,0,0,0
380,0,0,0
390,0,0,0
400,0,0,0
410,0,0,0
420,0,0,0
430,0,0,0
440,0,0,0
450,0,0,0
460,0,0,0
470,0,0,0
480,0,0,0
490,0,0,0
500,0,0,0
510,0,0,0
520,0,0,0
530,0,0,0
540,0,0,0
550,0,0,0
560,0,0,0
570,0,0,0
580,0,0,0
590,0,0,0
600,0,0,0
610,0,0,0
620,0,0,0
630,0,0,0
640,0,0,0
650,0,0,0
660,0,0,0
670,0,0,0
680,0,0,0
690,0,0,0
700,7.89E-05,0,0
710,0.001123122,0,0
720,0.000973498,0,0
730,0.002358662,0,0
740,0.002759359,0,0
750,0.002857282,0,0
760,0.004614821,0,0
770,0.005228871,0,0
780,0.005331707,0,0
790,0.00546467,0,0
800,0.005824871,0,0
810,0.005876221,0,0
820,0.005890405,0,0
830,0.006054804,0,0
840,0.006076568,0,0
850,0.006065401,0,0
860,0.006275635,0,0
870,0.00630871,0,0
880,0.006423352,0,0
890,0.006460949,0,0
900,0.006529903,0,0
910,0.00667902,0,0
920,0.006796501,0,0
930,0.006820945,0,0
940,0.006877844,0,0
950,0.006862128,0,0
960,0.006885695,0,0
970,0.006893752,0,0
980,0.006943531,0,0
990,0.007159111,0,0
1000,0.007075418,0,0
1010,0.007153249,0,0
1020,0.007128023,0,0
1030,0.007205404,0,0
1040,0.007161788,0,0
1050,0.007200315,0,0
1060,0.007230321,0,0
1070,0.00723811,0,0
1080,0.007254024,0,0
1090,0.00726558,0,0
1100,0.007243208,0,0
1110,0.007235841,0,0
1120,0.007251137,0,0
1130,0.007227977,0,0
1140,0.00727308,0,0
1150,0.007236781,0,0
1160,0.007233506,0,0
1170,0.007206994,0,0
1180,0.007207215,0,0
1190,0.007177792,0,0
1200,0.007151386,0,0
1210,0.007147915,0,0
1220,0.007222101,0,0
1230,0.00721859,0,0
1240,0.007218812,0,0
1250,0.007219432,0,0
1260,0.007142846,0,0
