,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,Rt,dRt,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
0,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.05,34.24701345911137,34.1510684465993,34.07976220733905,34.036094398164195,34.01394637180198,34.00459300897413,34.001288127872726,34.000307374639945,34.00006231497829,34.00001070627613,34.00000155259658,34.000000188902455,34.00000001911656,34.00000000158944,34.0000000001067,34.00000000000564,34.00000000000023,34.00000000000001,34.0,33.999999999999964,33.999999999999176,33.99999999998396,33.999999999754365,33.999999996951956,33.99999996880337,33.99999973320061,33.99999807516512,33.99998820199452,33.99993823533639,33.99972268965804,33.998928629958264,33.99642729460857,33.9896820584865,33.974084031950504,33.943056142431786,33.88965940044823,33.987082387397166,-0.0006458806301417042,67.25077846903562,,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.05,34.26266330473416,34.19155805560216,34.13015825819147,34.082059768845575,34.0478566707758,34.02576020468433,34.012778836125925,34.0058363259121,34.002452649441395,34.00094806957362,34.00033704855175,34.000110198174376,34.00003313475456,34.000009162441266,34.00000232981388,34.00000054465761,34.0000001169115,34.00000002231677,33.99999999971026,33.99999997727741,33.999999887272054,33.9999994988632,33.999997946812705,33.99999223646666,33.9999728931868,33.99991256221724,33.99973929522522,33.99928106082076,33.99816492062586,33.99566035282319,33.99048011307547,33.98059620108994,33.963177395298445,33.934771038749275,33.89179443732123,33.831265409486974,33.95844300254024,-0.001431969242846165,66.31308045309278,-0.9376980159428427,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.05,34.26979789203521,34.21129392306476,34.15813766290898,34.11282509616463,34.076579912320724,34.04936870853108,34.030189396137935,34.017493927117265,34.00959888021286,34.00498438344946,34.0024484315617,34.00113745659312,34.00049966745323,34.000207533365234,34.00008149339838,34.00003023884695,34.00001054534862,34.00000325478593,34.000000210110606,33.99999752330876,33.99999177500064,33.99997664581633,33.99993769249753,33.99984246943742,33.99962216669602,33.99913992893651,33.9981410569248,33.996182838097596,33.992548204254796,33.98615800500198,33.97550913221644,33.95867460611537,33.93339976432662,33.89731043839496,33.84821553701259,33.78444796688238,33.92738487667135,-0.001552906293444778,66.11551470468454,-0.1975657484082376,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.05,34.27380306991039,34.22265293298432,34.175058946375124,34.1328490417582,34.09716586076213,34.06840903838255,34.0463138184375,34.03012564651436,34.01881440201117,34.01127537509719,34.00648136533913,34.00357229622607,34.00188737175167,34.00095563507014,34.00046351135548,34.00021493159062,34.00009414933524,34.000035947709556,34.000003934648284,33.99997528870623,33.999929253872345,33.999836324803894,33.99964498801547,33.99926294859815,33.998530138128984,33.997181857743506,33.99480260854027,33.99077473352851,33.984230633888615,33.974021928518944,33.958721641146134,33.93667419283374,33.90610117494809,33.86525881491427,33.81262828922276,33.74710711458559,33.89929411494246,-0.0014045380864445179,66.22550557306705,0.1099908683825106,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.05,34.27654645822575,34.23053344932158,34.18710140303346,34.147652354951454,34.113171783715536,34.084168643961135,34.06068990231918,34.042396441836026,34.02867671933184,34.018771471987115,34.01188648468387,34.007278478061885,34.004308418261374,34.00246433116494,34.00136054845941,34.000722004978186,34.000361438288095,34.000155183428284,34.00002070670726,33.999896761928426,33.99972540395277,33.99943412649681,33.99891606093812,33.99800644103001,33.996454411562965,33.99389075593088,33.98979417613629,33.983461125920314,33.97398635998598,33.96026257741836,33.94100700399841,33.914819907755,33.88027486724239,33.83603388684049,33.78097370296311,33.71430477373931,33.87290137050874,-0.00131963722168571,66.26780905272949,0.042303479662436416,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.05,34.278576292156465,34.23641114348847,34.19622814056686,34.15914332593636,34.12599791011583,34.0973075151639,34.07325554383344,34.053726335475815,34.03836741960686,34.026666913115086,34.01803216756643,34.011858517302166,34.00758122612544,34.004708195761225,34.00283466251992,34.00164341254191,34.00089490967022,34.00041142552308,34.0000582355956,33.99972365905075,33.999298546392666,33.9986550071118,33.9976238512836,33.99597043610362,33.99336932667282,33.989379290092124,33.98342144401611,33.974764580458526,33.9625224141784,33.945667384970534,33.923064394289696,33.89352541724643,33.85588255207563,33.809073331900024,33.75222884910141,33.68475329744341,33.8480810153797,-0.001241017756452223,66.3062221435329,0.038413090803416594,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.05,34.28015643519585,34.24101193646216,34.20345112489349,34.16838840060648,34.1365458199195,34.10841188859003,34.08422822553537,34.06400289042539,34.04754526302682,34.0345148490288,34.02447556546919,34.01694780797339,34.01145247843082,34.00754355520805,34.004828135660006,34.002974739595636,34.00171181361164,34.0008188109231,34.00011208794766,33.99942738981627,33.99860013856392,33.997444298357955,33.99573041151037,33.99316353526875,33.98936223705993,33.98384042144611,33.97599439659114,33.965098030283755,33.9503088787333,33.93068762257638,33.90523193945913,33.872924150715924,33.83278983312663,33.78396245781973,33.72574745230147,33.657678294648704,33.82465193724215,-0.0011714539068773178,66.33727549878171,0.03105335524880104,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.05,34.28143166360798,34.24473987328195,34.209350947322015,34.17603127895087,34.145406528382324,34.11792831213421,34.093859417858845,34.07327749906119,34.056094721092634,34.04208901410039,34.030941672785936,34.022276050730454,34.01569286883076,34.01079891420034,34.0072273314425,34.00464902387476,34.002775698575455,34.001355726101465,34.00016426461891,33.99898911280678,33.9976136349209,33.995797971452724,33.99325970491366,33.989655237107826,33.98456333891016,33.977472589309976,33.967774620643105,33.954765107553634,33.93765416601225,33.91558719619881,33.88767620968549,33.85304041330682,33.81085344915469,33.760393442312925,33.701091132768184,33.63257107628963,33.8024434480144,-0.001110424461387538,66.36121149927476,0.02393600049305178,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.05,34.28248890488509,34.2478400319876,34.21428735967136,34.18248501901953,34.15298052622502,34.126187658091034,34.10237215366646,34.08165061110345,34.06400131359855,34.04928441720293,34.03726813126123,34.02765727578186,34.02012086073737,34.01431597233676,34.00990610209835,34.006572947452334,34.00402151226917,34.00197895978911,34.00018809384094,33.99839659006679,33.996343220388546,33.99374237325686,33.99026822051478,33.98553994496854,33.97910951509287,33.97045353861149,33.958970688100685,33.943986006937166,33.92476302349444,33.9005240069264,33.870477914538135,33.83385468267895,33.78994361687763,33.73813288441879,33.677946644898725,33.60907628241789,33.78130849480115,-0.0010567476606624382,66.37905960966037,0.01784811038561429,,34.3,24.7,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
