wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
300,0,,1.81E-50
310,0,,9.76E-49
320,6.99E-08,,4.08E-47
330,1.69E-07,,1.36E-45
340,1.00E-06,,3.65E-44
350,1.70E-05,,8.09E-43
360,9.53E-06,,1.51E-41
370,6.62E-05,,2.38E-40
380,0.000118683,,3.25E-39
390,0.000135899,,3.86E-38
400,0.000120061,,4.04E-37
410,0.000366614,,3.76E-36
420,0.000412459,,3.14E-35
430,0.000354618,,2.37E-34
440,0.000961549,,1.63E-33
450,0.000494799,,1.02E-32
460,0.000189943,,5.91E-32
470,7.06E-05,,3.16E-31
480,0.000355928,,1.58E-30
490,0.000935764,,7.35E-30
500,0.000382554,,3.21E-29
510,0.000204917,,1.32E-28
520,0.000248995,,5.15E-28
530,0.000485583,,1.90E-27
540,0.001039998,,6.67E-27
550,0.00109195,,2.23E-26
560,0.000428597,,7.14E-26
570,0.000138553,,2.19E-25
580,0.000195298,,6.46E-25
590,0.000274442,,1.83E-24
600,0.00047514,,5.02E-24
610,0.000301214,,1.33E-23
620,0.000230813,,3.39E-23
630,0.00031691,,8.42E-23
640,0.000638658,,2.03E-22
650,0.000397396,,4.75E-22
660,0.000171815,,1.08E-21
670,0.000125672,,2.40E-21
680,0.000129657,,5.21E-21
690,0.000197659,,1.10E-20
700,0.000170121,,2.28E-20
710,0.000166858,,4.62E-20
720,0.000173042,,9.17E-20
730,0.000135668,,1.78E-19
740,0.000163727,,3.41E-19
750,0.000139325,,6.39E-19
760,0.000162143,,1.18E-18
770,0.000156033,,2.13E-18
780,0.000181226,,3.80E-18
790,0.000180229,,6.68E-18
800,0.00015863,,1.16E-17
810,0.000123082,,1.97E-17
820,0.000168338,,3.31E-17
830,0.001294395,,5.50E-17
840,0.000411822,,9.01E-17
850,0.000176428,0,1.46E-16
860,0.000132655,0,2.33E-16
870,0.000242282,0,3.69E-16
880,0.000837891,0,5.77E-16
890,0.002134309,0,8.93E-16
900,0.001129291,0,1.37E-15
910,0.001400562,0,2.07E-15
920,0.004879781,-6.58E-11,3.11E-15
930,0.001327199,0,4.63E-15
940,0.00416042,0,6.83E-15
950,0.0053139,0,9.98E-15
960,0.011062319,0,1.45E-14
970,0.02006361,0,2.08E-14
980,0.116668487,0,2.97E-14
990,0.026709026,0,4.20E-14
1000,0.136288722,0,5.89E-14
1010,0.018112969,0,8.22E-14
1020,0.016883281,0,1.14E-13
1030,0.008790574,0,1.57E-13
1040,0.008420611,0,2.14E-13
1050,0.011226304,0,2.90E-13
1060,0.015740772,0,3.92E-13
1070,0.010996458,0,5.25E-13
1080,0.013957083,0,7.01E-13
1090,0.028216565,0,9.29E-13
1100,0.014088077,0,1.22E-12
1110,0.018998147,0,1.61E-12
1120,0.021146341,0,2.09E-12
1130,0.012505538,0,2.72E-12
1140,0.011468539,0,3.51E-12
1150,0.010836657,0,4.51E-12
1160,0.010675559,0,5.77E-12
1170,0.011256037,0,7.35E-12
1180,0.025882439,0,9.31E-12
1190,0.01415705,0,1.18E-11
1200,0.011488274,0,1.48E-11
1210,0.011598941,0,1.85E-11
1220,0.011531876,0,2.30E-11
1230,0.013362984,0,2.86E-11
1240,0.012741003,0,3.54E-11
1250,0.013295314,0,4.36E-11
1260,0.015414227,0,5.36E-11
1270,0.029057701,0,6.55E-11
1280,0.0137578,0,7.99E-11
1290,0.012632593,1.18E-08,9.71E-11
1300,0.01192179,0,1.18E-10
1310,0.011423656,0,1.42E-10
1320,0.0108878,0,1.71E-10
1330,0.010480701,0,2.05E-10
1340,0.01038592,0,2.45E-10
1350,0.01030416,0,2.93E-10
1360,0.010319311,0,3.48E-10
1370,0.018238711,0,4.13E-10
1380,0.01297472,0,4.88E-10
1390,0.009858854,0,5.76E-10
1400,0.009909004,0,6.77E-10
1410,0.010196829,0,7.95E-10
1420,0.014020581,0,9.31E-10
1430,0.0117676,0,1.09E-09
1440,0.008956874,0,1.27E-09
1450,0.006267366,0,1.47E-09
1460,0.004643488,0,1.71E-09
1470,0.003871696,0,1.97E-09
1480,0.007825456,0,2.28E-09
1490,0.002535507,0,2.62E-09
1500,0.002144909,0,3.02E-09
