wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd
300,2.1,1.7,0.1,0
310,2.16,1.65,0.097,
320,2.22,1.6,0.0942,
330,2.28,1.55,0.0914,
340,2.34,1.5,0.0885,
350,2.4,1.5167,0.0857,0.001
360,2.36,1.5333,0.0828,
370,2.32,1.55,0.08,0.001
380,2.28,1.5667,0.083,
390,2.24,1.5833,0.086,
400,2.2,1.6,0.09,0.004
410,2.12,1.68,0.098,
420,2.04,1.76,0.106,
430,1.96,1.84,0.114,
440,1.88,1.92,0.122,
450,1.8,2,0.13,0.005
460,1.61,1.84,0.134,
470,1.42,1.68,0.138,
480,1.23,1.52,0.142,
490,1.04,1.36,0.146,
500,0.85,1.2,0.15,0.032
510,0.88,1.22,0.148,
520,0.91,1.24,0.146,
530,0.94,1.26,0.144,
540,0.97,1.28,0.142,
550,1,1.3,0.14,0.022
560,0.9,1.28,0.154,
570,0.8,1.26,0.168,
580,0.7,1.24,0.182,
590,0.6,1.22,0.196,
600,0.5,1.2,0.21,0.083
610,0.454,1.16,0.222,
620,0.408,1.12,0.234,
630,0.362,1.08,0.246,
640,0.316,1.04,0.258,
650,0.27,1,0.27,0.188
660,0.258,0.99,0.274,
670,0.246,0.98,0.278,
680,0.234,0.97,0.282,
690,0.222,0.96,0.286,
700,0.21,0.95,0.29,0.245
710,0.204,0.93,0.292,
720,0.198,0.91,0.294,
730,0.192,0.89,0.296,
740,0.186,0.87,0.298,
750,0.18,0.85,0.3,0.287
760,0.176,0.86,0.302,
770,0.172,0.87,0.304,
780,0.168,0.88,0.306,
790,0.164,0.89,0.308,
800,0.16,0.9,0.31,0.296
810,0.163,0.91,0.31,
820,0.166,0.92,0.31,
830,0.169,0.93,0.31,
840,0.172,0.94,0.31,
850,0.175,0.95,0.31,
860,0.178,0.96,0.31,
870,0.181,0.97,0.31,
880,0.184,0.98,0.31,
890,0.187,0.99,0.31,
900,0.19,1,0.31,0.248
910,0.192,0.99,0.307,
920,0.194,0.98,0.304,
930,0.196,0.97,0.301,
940,0.198,0.96,0.298,
950,0.2,0.95,0.295,
960,0.202,0.94,0.292,
970,0.204,0.93,0.289,
980,0.206,0.92,0.286,
990,0.208,0.91,0.283,
1000,0.21,0.9,0.28,0.265
1010,0.205,0.878,0.278,
1020,0.2,0.856,0.276,
1030,0.195,0.834,0.274,
1040,0.19,0.812,0.272,
1050,0.185,0.79,0.27,
1060,0.18,0.768,0.268,
1070,0.175,0.746,0.266,
1080,0.17,0.724,0.264,
1090,0.165,0.702,0.262,
1100,0.16,0.68,0.26,0.33
1110,0.169,0.672,0.254,
1120,0.178,0.664,0.248,
1130,0.187,0.656,0.242,
1140,0.196,0.648,0.236,
1150,0.205,0.64,0.23,
1160,0.214,0.632,0.224,
1170,0.223,0.624,0.218,
1180,0.232,0.616,0.212,
1190,0.241,0.608,0.206,
1200,0.25,0.6,0.2,0.306
1210,0.252,0.592,0.198,
1220,0.254,0.584,0.196,
1230,0.256,0.576,0.194,
1240,0.258,0.568,0.192,
1250,0.26,0.56,0.19,
1260,0.262,0.552,0.188,
1270,0.264,0.544,0.186,
1280,0.266,0.536,0.184,
1290,0.268,0.528,0.182,
1300,0.27,0.52,0.18,0.323
1310,0.313,0.517,0.171,
1320,0.356,0.514,0.162,
1330,0.399,0.511,0.153,
1340,0.442,0.508,0.144,
1350,0.485,0.505,0.135,
1360,0.528,0.502,0.126,
1370,0.571,0.499,0.117,
1380,0.614,0.496,0.108,
1390,0.657,0.493,0.099,
1400,0.7,0.49,0.09,0.126
1410,0.75,0.482,0.086,
1420,0.8,0.474,0.082,
1430,0.85,0.466,0.078,
1440,0.9,0.458,0.074,
1450,0.95,0.45,0.07,
1460,1,0.442,0.066,
1470,1.05,0.434,0.062,
1480,1.1,0.426,0.058,
1490,1.15,0.418,0.054,
1500,1.2,0.41,0.05,0.045
1510,1.172,0.414,0.052,
1520,1.144,0.418,0.054,
1530,1.116,0.422,0.056,
1540,1.088,0.426,0.058,
1550,1.06,0.43,0.06,
1560,1.032,0.434,0.062,
1570,1.004,0.438,0.064,
1580,0.976,0.442,0.066,
1590,0.948,0.446,0.068,
1600,0.92,0.45,0.07,0.103
1610,0.9165,0.449,0.0695,
1620,0.913,0.448,0.069,
1630,0.9095,0.447,0.0685,
1640,0.906,0.446,0.068,
1650,0.9025,0.445,0.0675,
1660,0.899,0.444,0.067,
1670,0.8955,0.443,0.0665,
1680,0.892,0.442,0.066,
1690,0.8885,0.441,0.0655,
1700,0.885,0.44,0.065,
1710,0.8815,0.439,0.0645,
1720,0.878,0.438,0.064,
1730,0.8745,0.437,0.0635,
1740,0.871,0.436,0.063,
1750,0.8675,0.435,0.0625,
1760,0.864,0.434,0.062,
1770,0.8605,0.433,0.0615,
1780,0.857,0.432,0.061,
1790,0.8535,0.431,0.0605,
1800,0.85,0.43,0.06,0.098
1810,0.935,0.431,0.058,
1820,1.02,0.432,0.056,
1830,1.105,0.433,0.054,
1840,1.19,0.434,0.052,
1850,1.275,0.435,0.05,
1860,1.36,0.436,0.048,
1870,1.445,0.437,0.046,
1880,1.53,0.438,0.044,
1890,1.615,0.439,0.042,
1900,1.7,0.44,0.04,
1910,1.785,0.441,0.038,
1920,1.87,0.442,0.036,
1930,1.955,0.443,0.034,
1940,2.04,0.444,0.032,
1950,2.125,0.445,0.03,
1960,2.21,0.446,0.028,
1970,2.295,0.447,0.026,
1980,2.38,0.448,0.024,
1990,2.465,0.449,0.022,
2000,2.55,0.45,0.02,0.005
2010,2.52,0.4515,0.021,
2020,2.49,0.453,0.022,
2030,2.46,0.4545,0.023,
2040,2.43,0.456,0.024,
2050,2.4,0.4575,0.025,
2060,2.37,0.459,0.026,
2070,2.34,0.4605,0.027,
2080,2.31,0.462,0.028,
2090,2.28,0.4635,0.029,
2100,2.25,0.465,0.03,
2110,2.25,0.465,0.03,
2120,2.25,0.465,0.03,
2130,2.25,0.465,0.03,
2140,2.25,0.465,0.03,
2150,2.25,0.465,0.03,
